Source (First 30),Article Count,Word Count,Mean Word Count
Agence France Presse,30767,14808082,481
Lefigaro.fr,21978,12111314,551
Le Dauphiné Libéré,17888,6334269,354
Le Progrès,11424,4345194,380
Challenges.fr,11139,6740282,605
La Depeche du Midi,9687,3750146,387
LesEchos.fr,8801,7457331,847
La Nouvelle République du Centre Ouest,7180,2504550,349
Le Télégramme,6853,2140967,312
La Montagne,5625,2042911,363
L'Est Républicain,5529,1960041,355
Les Echos,5212,3291085,631
Vosges Matin,4754,1722946,362
MIDI LIBRE,4719,1717583,364
Le Figaro,4712,3188302,677
Courrier de l'Ouest,4645,1573221,339
Le Figaro Économie,4556,3094663,679
Sciences et Avenir.fr,4539,3316758,731
L'Obs,3649,2798011,767
Nice Matin,3453,2744343,795
Le Courrier Picard,3356,1306574,389
Le Républicain Lorrain,3346,1222386,365
L'INDEPENDANT,3276,1100647,336
La Tribune,3049,2782505,913
LePoint.fr,2923,2909518,995
L'Est-eclair - Liberation Champagne,2914,1100477,378
Le Petit Journal,2860,830362,290
FRANCE 24 (French),2806,1733556,618
Var Matin,2761,1996749,723
La Tribune.fr,2732,2405697,881
Le Berry Républicain,2718,1067047,393
